Group,Image_URL
Advanced White Society[53],https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Advanced_White_Society_logo.jpg/100px-Advanced_White_Society_logo.jpg
American Front,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/American_Front_hate_group_symbol.svg/100px-American_Front_hate_group_symbol.svg.png
Identity Evropa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/IdentityEvropa.svg/100px-IdentityEvropa.svg.png
Aryan Brotherhood,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Aryan_Brotherhood_hate_symbol.svg/100px-Aryan_Brotherhood_hate_symbol.svg.png
Atomwaffen Division,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Atomwaffen_Division_logo.svg/100px-Atomwaffen_Division_logo.svg.png
Bound for Glory,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Daily_Stormer_Book_Club_logo.jpg/100px-Daily_Stormer_Book_Club_logo.jpg
Daily Stormer Book Club,https://upload.wikimedia.org/wikipedia/commons/0/09/Europeankindred.gif
European Kindred,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Emblem_of_the_Ku_Klux_Klan.svg/100px-Emblem_of_the_Ku_Klux_Klan.svg.png
Ku Klux Klan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Blason_du_National_Socialist_Movement_usa.svg/100px-Blason_du_National_Socialist_Movement_usa.svg.png
Mississippi Aryan Brotherhood,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Nbplogo.png/100px-Nbplogo.png
National Socialist Movement (United States),https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Patriot_Front_Logo.png/100px-Patriot_Front_Logo.png
New Black Panther Party,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Skrewdriver_logo.png/100px-Skrewdriver_logo.png
Patriot Front,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/White_Pride_World_Wide_-_Stormfront_hate_symbol.svg/100px-White_Pride_World_Wide_-_Stormfront_hate_symbol.svg.png
Skrewdriver[54],https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Aryan_Cowboy_Brotherhoood_logo.jpg/100px-Aryan_Cowboy_Brotherhoood_logo.jpg
Stormfront (website),https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Battle_flag_of_the_Confederate_States_of_America_%283-5%29.svg/175px-Battle_flag_of_the_Confederate_States_of_America_%283-5%29.svg.png
Brothers of White Warriors[56],https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Naval_jack_of_the_Confederate_States_of_America_%283-5%29.svg/175px-Naval_jack_of_the_Confederate_States_of_America_%283-5%29.svg.png
Aryan Cowboy Brotherhood[57],https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_South_Africa_%281928-1982%29.svg/175px-Flag_of_South_Africa_%281928-1982%29.svg.png
